Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2019","2019","1000 USD","20253","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2019","2019","t","269164.68","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2019","2019","1000 USD","74169","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2020","2020","t","244804.2","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2020","2020","1000 USD","82070","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2020","2020","t","518496.18","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2020","2020","1000 USD","139600","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2021","2021","t","96884.31","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2021","2021","1000 USD","32477","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2021","2021","t","234762.69","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2021","2021","1000 USD","72577","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2000","2000","t","807397.6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2000","2000","1000 USD","135869","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2000","2000","t","11517260","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2000","2000","1000 USD","2187879","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2001","2001","t","849583","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2001","2001","1000 USD","137559","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2001","2001","t","15675543","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2001","2001","1000 USD","2725508","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0141","Soya beans","2002","2002","t","1045204","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0141","Soya beans","2002","2002","1000 USD","174671","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0141","Soya beans","2002","2002","t","15970003","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0141","Soya beans","2002","2002","1000 USD","3031984","A","Official figure",""
