Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","221902.86","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","258851.67","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","260714.84","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","313639.25","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","206061.7","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","254912.71","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","314990.4","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","253450.88","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","313069.12","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","349797.63","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","279005.69","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","261305.81","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","274421.03","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","213036.33","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","283297.13","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2000","2000","t","83016.2","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2001","2001","t","84965.75","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2002","2002","t","89835.76","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2003","2003","t","95941.98","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2004","2004","t","100826.18","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2005","2005","t","103851.93","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2006","2006","t","108046.84","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2007","2007","t","129084.38","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2008","2008","t","150578.09","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2009","2009","t","151661.92","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2010","2010","t","182448.88","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2011","2011","t","119869.33","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1309","Insecticides","2012","2012","t","148286.73","E","Estimated value",""
