Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2021","2021","100 g/ha","69031","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2021","2021","t","11660605","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2000","2000","ha","13656771","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2000","2000","100 g/ha","24033","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2000","2000","t","32820826","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2001","2001","ha","13985099","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2001","2001","100 g/ha","27105","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2001","2001","t","37907259","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2002","2002","ha","16359441","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2002","2002","100 g/ha","25739","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2002","2002","t","42107618","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2003","2003","ha","18524768","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2003","2003","100 g/ha","28027","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2003","2003","t","51919440","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2004","2004","ha","21538990","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2004","2004","100 g/ha","23005","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2004","2004","t","49549940","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2005","2005","ha","22948874","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2005","2005","100 g/ha","22303","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2005","2005","t","51182072","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2006","2006","ha","22047348","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2006","2006","100 g/ha","23796","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2006","2006","t","52464640","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2007","2007","ha","20565279","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2007","2007","100 g/ha","28133","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2007","2007","t","57857172","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2008","2008","ha","21246302","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0141","Soya beans","2008","2008","100 g/ha","28162","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2008","2008","t","59833104","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0141","Soya beans","2009","2009","ha","21750468","A","Official figure",""
